branch,database,scenario,install_meta_module,primary_apps,notes
main,,Source of truth and shared documentation,,docs only,Do not use as live demo database
demo/00-base-universal,mindora-demo-00-base,Universal clean base,mindora_demo_00_base_universal,"base_setup,contacts,mail,calendar,crm,sale_management,account,purchase,stock,project,hr,hr_timesheet,web_studio",Use as reusable baseline
demo/01-al-noor-live-os,mindora-demo-01-al-noor,Main Al Noor live business operating system,mindora_demo_01_al_noor_live_os,"crm,sale_management,sale_stock,purchase,stock,stock_barcode,account,project,industry_fsm,helpdesk,documents,sign,approvals,spreadsheet_dashboard",Main executive live demo
demo/02-sales,mindora-demo-02-sales,CRM and sales engine,mindora_demo_02_sales,"crm,sale_management,sale_crm,mass_mailing,marketing_automation,website_crm,appointment",Pipeline and quotation discipline
demo/03-trading-distribution-basic,mindora-demo-03-trading-basic,Basic trading and distribution,mindora_demo_03_trading_distribution_basic,"sale_management,sale_stock,purchase,purchase_stock,stock,stock_account,account,delivery,stock_landed_costs",Purchase to stock to sale
demo/04-trading-distribution-warehouse,mindora-demo-04-warehouse,Warehouse and barcode operations,mindora_demo_04_trading_distribution_warehouse,"sale_management,sale_stock,purchase,stock,stock_barcode,stock_picking_batch,delivery,product_expiry",Barcode and replenishment demo
demo/05-retail-pos,mindora-demo-05-pos,Retail POS and showroom,mindora_demo_05_retail_pos,"point_of_sale,pos_sale,pos_stock,pos_account,pos_loyalty,stock,account,sale_management",POS to inventory/accounting
demo/06-ecommerce-omnichannel,mindora-demo-06-ecommerce,eCommerce omnichannel,mindora_demo_06_ecommerce_omnichannel,"website,website_sale,website_sale_stock,website_crm,website_livechat,payment,delivery,sale_management,stock,account",Online checkout and portal
demo/07-project-services,mindora-demo-07-project-services,Project services,mindora_demo_07_project_services,"project,hr_timesheet,sale_project,sale_timesheet,planning,documents,sign,account",Quotation to project to timesheet invoice
demo/08-field-service-after-sales,mindora-demo-08-field-service,Field service and after-sales,mindora_demo_08_field_service_after_sales,"industry_fsm,industry_fsm_sale,industry_fsm_stock,helpdesk,helpdesk_fsm,repair,planning,stock,account",Task worksheet products invoice
demo/09-workshop-manufacturing-l1,mindora-demo-09-workshop,Small workshop manufacturing,mindora_demo_09_workshop_manufacturing_l1,"mrp,stock,purchase,sale_management,account",Simple BoM and MO
demo/10-manufacturing-l2,mindora-demo-10-manufacturing-l2,Factory manufacturing,mindora_demo_10_manufacturing_l2,"mrp,mrp_workorder,mrp_account,quality_control,quality_mrp,maintenance,mrp_maintenance,stock,purchase,sale_management,account",Work centres quality maintenance
demo/11-production-l3,mindora-demo-11-production-l3,Advanced production,mindora_demo_11_production_l3,"mrp,mrp_workorder,mrp_plm,mrp_subcontracting,quality_control,quality_mrp,quality_stock,maintenance,stock_barcode,repair,account",PLM subcontracting traceability
demo/12-hr,mindora-demo-12-hr,People and HR operations,mindora_demo_12_hr,"hr,hr_recruitment,hr_holidays,hr_attendance,hr_appraisal,hr_skills,planning,hr_timesheet,approvals,documents",People operations demo
demo/13-marketing,mindora-demo-13-marketing,Marketing growth engine,mindora_demo_13_marketing,"crm,website,website_crm,website_livechat,mass_mailing,marketing_automation,social,sms,utm,link_tracker",Campaign to lead to opportunity
demo/14-governance,mindora-demo-14-governance,Governance documents approvals,mindora_demo_14_governance,"documents,sign,approvals,project,account,purchase,sale_management,crm,web_studio,spreadsheet_dashboard",Control and audit proof
demo/15-holding,mindora-demo-15-holding,Holding control tower,mindora_demo_15_holding,"account,account_reports,project,hr_timesheet,documents,sign,approvals,crm,purchase,stock,spreadsheet_dashboard,knowledge",Clarence holding model
demo/16-ai-control-room,mindora-demo-16-ai,AI control room,mindora_demo_16_ai_control_room,"ai,knowledge,documents,crm,project,account,spreadsheet_dashboard",AI agent demo
